Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",,"Whale, beluga (Delphinapterus leucas) - Cook",,,,,,
"",69,,E,$0,"$3,335,312","$3,335,312","$194,968","$3,530,280"
"",,Inlet DPS,,,,,,
"",,"Whale, blue (Balaenoptera musculus) -",,,,,,
"",91,,E,$0,"$1,898,201","$1,898,201",$0,"$1,898,201"
"",,Wherever found,,,,,,
"",,"Whale, bowhead (Balaena mysticetus) -",,,,,,
"",132,,E,$0,"$743,134","$743,134","$261,737","$1,004,871"
"",,Wherever found,,,,,,
"",,"Whale, false killer (Pseudorca crassidens) -",,,,,,
"",155,,E,"$122,078","$700,065","$822,143",$0,"$822,143"
"",,Main Hawaiian Islands Insular DPS,,,,,,
"",,"Whale, finback (Balaenoptera physalus) -",,,,,,
"",84,,E,$0,"$2,167,630","$2,167,630",$0,"$2,167,630"
"",,Wherever found,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",,"Whale, gray (Eschrichtius robustus) - Western",,,,,,
"",336,,E,$0,"$165,135","$165,135","$3,000","$168,135"
"",,North Pacific DPS,,,,,,
"",,"Whale, humpback (Megaptera novaeangliae) -",,,,,,
"",151,,E,$0,"$871,481","$871,481","$3,000","$874,481"
"",,Western North Pacific,,,,,,
"",,"Whale, humpback (Megaptera novaeangliae) -",,,,,,
"",108,,T,$0,"$1,385,855","$1,385,855",$0,"$1,385,855"
"",,Mexico DPS,,,,,,
"",,"Whale, humpback (Megaptera novaeangliae) -",,,,,,
"",228,,E,$0,"$440,142","$440,142",$0,"$440,142"
"",,Central America DPS,,,,,,
"",,"Whale, killer (Orcinus orca) - Southern",,,,,,
"",87,,E,$0,"$1,689,236","$1,689,236","$388,600","$2,077,836"
"",,Resident DPS,,,,,,
"",,"Whale, North Atlantic Right (Eubalaena",,,,,,
"",30,,E,$0,"$9,817,274","$9,817,274","$125,000","$9,942,274"
"",,glacialis) - Wherever found,,,,,,
"",,"Whale, North Pacific Right (Eubalaena",,,,,,
"",186,,E,$0,"$595,341","$595,341",$0,"$595,341"
"",,japonica) - Wherever found,,,,,,
"",,"Whale, Sei (Balaenoptera borealis) - Wherever",,,,,,
"",98,,E,$0,"$1,613,657","$1,613,657",$0,"$1,613,657"
"",,found,,,,,,
"",,"Whale, Southern Right (Eubalaena australis) -",,,,,,
"",1259,,E,$0,$476,$476,$0,$476
"",,Wherever found,,,,,,
"",,"Whale, sperm (Physeter catodon",,,,,,
"",88,,E,$310,"$2,031,421","$2,031,731",$0,"$2,031,731"
"",,(=macrocephalus)) - Wherever found,,,,,,
"",,"Wolf, gray (Canis lupus) - U.S.A.: All of AL,",,,,,,
"",,"AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS,",,,,,,
"",,"KY, LA, MA, MD, ME, MI, MO, MS, NC,",,,,,,
"",57,"ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI,",E,"$974,620","$1,522,863","$2,497,483","$2,116,640","$4,614,123"
"",,"SC, SD, TN, TX, VA, VT, WI, and WV; and",,,,,,
"",,"portions of AZ, NM, OR, UT, and WA.",,,,,,
"",,Mexico.,,,,,,
"",107,"Wolf, gray (Canis lupus) - MN",T,$0,"$1,239,292","$1,239,292","$154,900","$1,394,192"
"",,"Wolf, gray (Canis lupus) - Western Great Lakes",,,,,,
"",1003,,RT,"$10,000",$0,"$10,000",$0,"$10,000"
"",,DPS,,,,,,
"",,"Wolf, Mexican (Canis lupus baileyi) -",,,,,,
"",622,"Wherever found, except where listed as an",E,$0,"$40,230","$40,230",$0,"$40,230"
"",,experimental population,,,,,,
"",,"Wolf, Mexican (Canis lupus baileyi) - U.S.A.",,,,,,
"",73,,EXPN,"$2,463,677","$355,600","$2,819,277",$0,"$2,819,277"
"",,(portions of AZ and NM)see 17.84(k),,,,,,
"",,"Wolf, red (Canis rufus) - Wherever found,",,,,,,
"",1253,except where listed as an experimental,E,$0,$0,$0,"$1,000","$1,000"
"",,population,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,,Federal Total,States Total,Species Total
"",,"Wolf, red (Canis rufus) - U.S.A. (portions of",,,,,,,
"",164,,EXPN,"$728,400",$0,,"$728,400",$0,"$728,400"
"",,NC and TN),,,,,,,
"",,"Woodrat, Key Largo (Neotoma floridana",,,,,,,
"",503,,E,"$68,500","$1,048",,"$69,548",$0,"$69,548"
"",,smalli) - Wherever found,,,,,,,
"",,"Woodrat, riparian (=San Joaquin Valley)",,,,,,,
"",850,,E,"$8,700","$8,300",,"$17,000",$0,"$17,000"
"",,(Neotoma fuscipes riparia) - Wherever found,,,,,,,
Mammals subtotal,,,,"$37,371,492","$73,853,127",,"$111,224,619","$9,443,254","$120,667,873"
Birds,,Akekee (Loxops caeruleirostris) - Wherever,,,,,,,
"",299,,E,"$158,581","$74,489",,"$233,070",$0,"$233,070"
"",,found,,,,,,,
"",,"Akepa, Hawaii (Loxops coccineus) - Wherever",,,,,,,
"",337,,E,"$142,869","$22,610",,"$165,479",$0,"$165,479"
"",,found,,,,,,,
"",,"Akepa, Maui (Loxops ochraceus) - Wherever",,,,,,,
"",313,,E,"$24,696","$186,400",,"$211,096",$0,"$211,096"
"",,found,,,,,,,
"",,"Akialoa, Kauai (honeycreeper) (Akialoa",,,,,,,
"",815,,E,"$19,012",$0,,"$19,012",$0,"$19,012"
"",,stejnegeri) - Wherever found,,,,,,,
"",,Akiapolaau (Hemignathus wilsoni) - Wherever,,,,,,,
"",396,,E,"$21,610","$104,009",,"$125,619",$0,"$125,619"
"",,found,,,,,,,
"",393,Akikiki (Oreomystis bairdi) - Wherever found,E,"$42,587","$84,489",,"$127,076",$0,"$127,076"
"",,"Albatross, short-tailed (Phoebastria",,,,,,,
"",354,,E,"$149,311","$1,958",,"$151,269","$2,000","$153,269"
"",,(=Diomedea) albatrus) - Wherever found,,,,,,,
"",,"Blackbird, yellow-shouldered (Agelaius",,,,,,,
"",830,,E,"$18,000",$250,,"$18,250",$0,"$18,250"
"",,xanthomus) - Wherever found,,,,,,,
"",,"Bobwhite, masked (quail) (Colinus virginianus",,,,,,,
"",245,,E,"$353,726","$21,400",,"$375,126",$0,"$375,126"
"",,ridgwayi) - Wherever found,,,,,,,
"",,"Caracara, Audubon's crested (Polyborus plancus",,,,,,,
"",31,,T,"$247,500","$9,407,913",,"$9,655,413",$0,"$9,655,413"
"",,audubonii) - FL pop.,,,,,,,
"",,"Condor, California (Gymnogyps californianus) -",,,,,,,
