Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,,Other Fed,,Federal Total,States Total,,Species Total
"",,"Squirrel, Mount Graham red (Tamiasciurus hudsonicus grahamensis) -",,,,,,,
"",694,,E,"$14,000",$100,,"$14,100","$28,246","$42,346"
"",,Wherever found,,,,,,,
"",,"Squirrel, Northern Idaho Ground (Urocitellus brunneus) - Wherever",,,,,,,
"",261,,T,"$303,528","$30,692",,"$334,220","$54,449","$388,669"
"",,found,,,,,,,
"",1418,"Tamarin, cotton-top (Saguinus oedipus) - Wherever found",E,$0,$500,,$500,$0,$500
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,,Other Fed,Federal Total,States Total,,Species Total
"",710,"Tamarin, golden-rumped (Leontopithecus spp.) - Wherever found",E,$0,,"$39,900","$39,900",$0,,"$39,900"
"",450,"Tapir, Central American (Tapirus bairdii) - Wherever found",E,"$133,574",,$200,"$133,774",$0,,"$133,774"
"",,"Tapir, South American (=Brazilian) (Tapirus terrestris) - Wherever",,,,,,,,
"",1426,,E,$0,,$200,$200,$0,,$200
"",,found,,,,,,,,
"",90,Tiger (Panthera tigris) - Wherever found,E,"$1,717,273",,"$295,500","$2,012,773",$0,,"$2,012,773"
"",222,"Vole, Amargosa (Microtus californicus scirpensis) - Wherever found",E,"$331,117",,"$180,000","$511,117",$0,,"$511,117"
"",,"Vole, Florida salt marsh (Microtus pennsylvanicus dukecampbelli) -",,,,,,,,
"",1115,,E,"$10,500",,$0,"$10,500",$0,,"$10,500"
"",,Wherever found,,,,,,,,
"",,"Vole, Hualapai Mexican (Microtus mexicanus hualpaiensis) - Wherever",,,,,,,,
"",1348,,E,"$3,000",,$100,"$3,100","$1,000",,"$4,100"
"",,found,,,,,,,,
"",63,"Whale, beluga (Delphinapterus leucas) - Cook Inlet DPS",E,$0,,"$3,568,804","$3,568,804","$34,548",,"$3,603,352"
"",71,"Whale, blue (Balaenoptera musculus) - Wherever found",E,$800,,"$2,780,024","$2,780,824",$0,,"$2,780,824"
"",117,"Whale, bowhead (Balaena mysticetus) - Wherever found",E,$0,,"$901,111","$901,111","$401,045",,"$1,302,156"
"",,"Whale, false killer (Pseudorca crassidens) - Main Hawaiian Islands",,,,,,,,
"",167,,E,$0,,"$793,495","$793,495",$0,,"$793,495"
"",,Insular DPS,,,,,,,,
"",75,"Whale, finback (Balaenoptera physalus) - Wherever found",E,$0,,"$2,541,447","$2,541,447",$0,,"$2,541,447"
"",290,"Whale, gray (Eschrichtius robustus) - Western North Pacific DPS",E,$0,,"$291,166","$291,166",$0,,"$291,166"
"",147,"Whale, humpback (Megaptera novaeangliae) - Western North Pacific",E,$0,,"$956,621","$956,621",$0,,"$956,621"
