Group,Status,Scientific Name,Inverted Common Name,FWS 2017,Other Fed 2017,States 2017,Total 2017,Area
Flowering Plants,T,dudleya verityi ,"dudleya, verity's ",35614,1000,0,36614, wherever found
Flowering Plants,E,sidalcea oregana var. calva ,"checkermallow, wenatchee mountains ",452,200,0,652, local endemic
Flowering Plants,E,myrsine fosbergii ,kolea ,5914,0,0,5914, wherever found
Flowering Plants,E,sidalcea oregana ssp. valida ,"checker-mallow, kenwood marsh ",1650,0,0,1650, wherever found
Flowering Plants,E,phyllostegia racemosa ,kiponapona ,12491,0,0,12491, wherever found
Flowering Plants,E,kanaloa kahoolawensis ,kohe malama malama o kanaloa ,9998,0,0,9998, wherever found
Flowering Plants,E,dubautia latifolia ,koholapehu ,10330,0,0,10330, wherever found
Flowering Plants,E,kokia drynarioides ,koki`o ,14545,0,0,14545, wherever found
Flowering Plants,E,kokia kauaiensis ,koki`o ,14918,0,0,14918, wherever found
Flowering Plants,E,kokia cookei ,"koki`o, cooke's ",10502,0,0,10502, wherever found
Flowering Plants,E,hibiscus arnottianus ssp. immaculatus ,koki`o ke`oke`o ,7060,500,0,7560, wherever found
Flowering Plants,E,hibiscus waimeae ssp. hannerae ,koki`o ke`oke`o ,7288,0,0,7288, wherever found
Flowering Plants,E,goetzea elegans ,"goetzea, beautiful ",16000,0,0,16000, wherever found
Flowering Plants,E,myrsine juddii ,kolea ,10081,0,0,10081, wherever found
Flowering Plants,E,myrsine knudsenii ,kolea ,14075,0,0,14075, wherever found
Flowering Plants,T,myrsine linearifolia ,kolea ,9316,0,0,9316, wherever found
Flowering Plants,E,myrsine mezii ,kolea ,11033,0,0,11033, wherever found
Flowering Plants,E,myrsine vaccinioides ,kolea ,7921,0,0,7921, wherever found
Flowering Plants,E,bidens amplectens ,ko`oko`olau ,5914,0,0,5914, wherever found
Flowering Plants,E,bidens campylotheca ssp. pentamera ,ko`oko`olau ,7187,41400,0,48587, wherever found
Flowering Plants,E,bidens campylotheca ssp. waihoiensis ,ko`oko`olau ,6067,41400,0,47467, wherever found
Flowering Plants,E,bidens conjuncta ,ko`oko`olau ,6067,0,0,6067, wherever found
Flowering Plants,E,bidens micrantha ssp. ctenophylla ,ko`oko`olau ,26659,1000,0,27659, wherever found
Flowering Plants,E,bidens micrantha ssp. kalealaha ,ko`oko`olau ,14251,43400,0,57651, wherever found
Flowering Plants,E,bidens wiebkei ,ko`oko`olau ,5914,0,0,5914, wherever found
Flowering Plants,E,abutilon menziesii ,ko`oloa`ula ,14320,134808,0,149128, wherever found
Flowering Plants,E,kadua cordata remyi ,kopa ,5914,0,0,5914, wherever found
Flowering Plants,E,kadua coriacea ,kio`ele ,11481,32000,0,43481, wherever found
Flowering Plants,T,sidalcea nelsoniana ,"checker-mallow, nelson's ",119954,400,0,120354, wherever found
Flowering Plants,E,pteralyxia macrocarpa ,kaulu ,7963,0,0,7963, wherever found
Flowering Plants,E,colubrina oppositifolia ,kauila ,12041,0,0,12041, wherever found
Flowering Plants,E,sidalcea keckii ,"checker-mallow, keck's ",8140,629,0,8769, wherever found
Flowering Plants,E,wilkesia hobdyi ,"iliau, dwarf ",7309,4418,0,11727, wherever found
Flowering Plants,E,ipomopsis sancti,"ipomopsis, holy ghost ",30000,0,0,30000,spiritus) 
Flowering Plants,T,iris lacustris ,"iris, dwarf lake ",16500,500,0,17000, wherever found
Flowering Plants,E,sisyrinchium dichotomum ,"irisette, white ",2000,0,0,2000, wherever found
Flowering Plants,E,ischaemum byrone ,"ischaemum, hilo ",9693,20700,0,30393, wherever found
Flowering Plants,T,ivesia kingii var. eremica ,"ivesia, ash meadows ",14848,0,0,14848, wherever found
Flowering Plants,T,ivesia webberi ,"ivesia, webber's ",57200,30620,0,87820, wherever found
Flowering Plants,E,jacquemontia reclinata ,"jacquemontia, beach ",0,500,5000,5500, wherever found
Flowering Plants,E,caulanthus californicus ,"jewelflower, california ",14306,31300,0,45606, wherever found
Flowering Plants,E,streptanthus albidus ssp. albidus ,"jewelflower, metcalf canyon ",16390,2600,0,18990, wherever found
Flowering Plants,E,streptanthus niger ,"jewelflower, tiburon ",0,200,0,200, wherever found
Flowering Plants,T,aeschynomene virginica ,"joint-vetch, sensitive ",39626,1620,0,41246, wherever found
Flowering Plants,E,labordia cyrtandrae ,kamakahala ,14224,128415,0,142639, wherever found
Flowering Plants,E,labordia helleri ,kamakahala ,7288,0,0,7288, wherever found
Flowering Plants,E,labordia lydgatei ,kamakahala ,18521,0,0,18521, wherever found
Flowering Plants,E,labordia pumila ,kamakahala ,8434,0,0,8434, wherever found
Flowering Plants,E,labordia tinifolia var. lanaiensis ,kamakahala ,11143,0,0,11143, wherever found
Flowering Plants,E,labordia tinifolia var. wahiawaensis ,kamakahala ,12058,0,0,12058, wherever found
Flowering Plants,E,labordia triflora ,kamakahala ,10553,0,0,10553, wherever found
Flowering Plants,E,cenchrus agrimonioides ,kamanomano ,8878,128415,0,137293, wherever found
Flowering Plants,E,kadua fluviatilis ,kamapua`a ,943,0,0,943, wherever found
Flowering Plants,E,hibiscadelphus distans ,kauai hau kuahiwi ,9475,0,0,9475, wherever found
Flowering Plants,E,pteralyxia kauaiensis ,kaulu ,10351,0,0,10351, wherever found
Flowering Plants,T,solidago spithamaea ,"goldenrod, blue ridge ",2000,100,0,2100, wherever found
Flowering Plants,E,cyanea mannii ,haha ,6067,0,0,6067, wherever found
Flowering Plants,E,solidago shortii ,"goldenrod, short's ",12000,100,1000,13100, wherever found
Flowering Plants,E,pleomele forbesii ,hala pepe ,6592,13895,0,20487, wherever found
Flowering Plants,E,pleomele fernaldii ,hala pepe ,6055,0,0,6055, wherever found
Flowering Plants,E,cyrtandra viridiflora ,ha`iwale ,60274,0,0,60274, wherever found
Flowering Plants,E,cyrtandra tintinnabula ,ha`iwale ,10320,0,0,10320, wherever found
Flowering Plants,E,cyrtandra subumbellata ,ha`iwale ,9757,0,0,9757, wherever found
Flowering Plants,E,cyrtandra sessilis ,ha`iwale ,8377,0,0,8377, wherever found
Flowering Plants,E,cyrtandra polyantha ,ha`iwale ,8314,0,0,8314, wherever found
Flowering Plants,E,cyrtandra oxybapha ,ha`iwale ,6067,0,0,6067, wherever found
Flowering Plants,E,cyrtandra oenobarba ,ha`iwale ,7288,0,0,7288, wherever found
Flowering Plants,E,cyrtandra munroi ,ha`iwale ,8662,0,0,8662, wherever found
Flowering Plants,T,cyrtandra limahuliensis ,ha`iwale ,7288,0,0,7288, wherever found
Flowering Plants,E,cyrtandra kaulantha ,ha`iwale ,10115,0,0,10115, wherever found
Flowering Plants,E,cyrtandra hematos ,ha`iwale ,5914,0,0,5914, wherever found
Flowering Plants,E,cyrtandra giffardii ,ha`iwale ,8364,2500,0,10864, wherever found
Flowering Plants,E,cyrtandra filipes ,ha`iwale ,12140,0,0,12140, wherever found
Flowering Plants,E,cyrtandra dentata ,ha`iwale ,6890,128415,0,135305, wherever found
Flowering Plants,E,cyrtandra crenata ,ha`iwale ,6208,0,0,6208, wherever found
Flowering Plants,E,cyrtandra waiolani ,haiwale ,7970,0,0,7970, wherever found
Flowering Plants,E,cyrtandra paliku ,haiwale ,10913,0,0,10913, wherever found
Flowering Plants,E,cyrtandra gracilis ,haiwale ,9488,0,0,9488, wherever found
Flowering Plants,E,cyrtandra ferripilosa ,haiwale ,8122,62000,0,70122, wherever found
Flowering Plants,E,cyanea undulata ,haha ,10913,0,0,10913, wherever found
Flowering Plants,E,cyanea truncata ,haha ,9832,0,0,9832, wherever found
Flowering Plants,E,pleomele hawaiiensis ,hala pepe ,10260,5000,0,15260, wherever found
Flowering Plants,E,cyanea superba ,haha ,11625,128415,0,140040, wherever found
Flowering Plants,E,solanum guamense ,"halomtano, berenghenas ",15489,0,0,15489, wherever found
Flowering Plants,E,crotalaria avonensis ,"harebells, avon park ",2000,0,2000,4000, wherever found
Flowering Plants,E,psychotria grandiflora ,kopiko ,13081,0,0,13081, wherever found
Flowering Plants,E,portulaca villosa ,ihi ,6140,750,0,6890, wherever found
Flowering Plants,E,,"iagu, hayun ",109285,0,0,109285,
Flowering Plants,E,hypericum cumulicola ,"hypericum, highlands scrub ",0,0,7500,7500, wherever found
Flowering Plants,E,korthalsella degeneri ,hulumoa ,8002,0,0,8002, wherever found
Flowering Plants,T,howellia aquatilis ,"howellia, water ",127421,7400,5169,139990, wherever found
Flowering Plants,E,haplostachys haplostachya ,honohono ,12441,33000,0,45441, wherever found
Flowering Plants,E,ilex cookii ,"holly, cook's ",4500,0,0,4500, wherever found
Flowering Plants,E,ochrosia kilaueaensis ,holei ,8036,0,0,8036, wherever found
Flowering Plants,E,ochrosia haleakalae ,holei ,8211,2500,0,10711, wherever found
