Common Name,Scientific Name,Area,Group,Recovery Document Date,Status,Region,Recovery Actions
Naenae,Dubautia kalalauensis,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,75.0
nehe,Lipochaeta fauriei,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,80.0
Papala,Charpentiera densiflora,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
No common name,Keysseria (=Lagenifera) erici,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,1.0
Anchialine pool shrimp,Vetericaris chaceorum,Wherever found,Crustaceans,2019-10-31,E,Pacific Region,
No common name,Phyllostegia waimeae,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,84.0
No common name,Platydesma remyi,Wherever found,Flowering Plants,2019-10-31,E,Pacific Region,
Cumberland darter,Etheostoma susanae,Wherever found,Fishes,2019-05-02,E,Southeast Region,8.0
Haha,Cyanea kuhihewa,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,77.0
No common name,Lysimachia venosa,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,74.0
Kamakahala,Labordia pumila,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,76.0
`Akoko,Euphorbia remyi var. remyi,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,77.0
No common name,Stenogyne cranwelliae,Wherever found,Flowering Plants,2019-10-31,E,Pacific Region,
Thick-billed parrot,Rhynchopsitta pachyrhyncha,Wherever found,Birds,2009-06-20,E,Southwest Region,
Thick-billed parrot,Rhynchopsitta pachyrhyncha,Wherever found,Birds,2013-07-02,E,Southwest Region,17.0
Jones Cycladenia,Cycladenia humilis var. jonesii,Wherever found,Flowering Plants,2021-08-31,T,Mountain-Prairie Region,
No common name,Stenogyne campanulata,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Kolea,Myrsine knudsenii,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,77.0
Neches River rose-mallow,Hibiscus dasycalyx,Wherever found,Flowering Plants,2018-04-23,T,Southwest Region,
Clay's hibiscus,Hibiscus clayi,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,80.0
Georgia rockcress,Arabis georgiana,Wherever found,Flowering Plants,2020-08-22,T,Southeast Region,
Olympia pocket gopher,Thomomys mazama pugetensis,Wherever found,Mammals,2021-06-29,T,Pacific Region,5.0
Naenae,Dubautia kenwoodii,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,74.0
Kauai cave amphipod,Spelaeorchestia koloana,Wherever found,Crustaceans,2021-08-27,E,Pacific Region,67.0
Dwarf iliau,Wilkesia hobdyi,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
No common name,Kadua st.-johnii,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Haha,Cyanea marksii,Wherever found,Flowering Plants,2019-10-31,E,Pacific Region,
Haha,Cyanea dolichopoda,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,76.0
No common name,Phyllostegia knudsenii,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Chucky Madtom,Noturus crypticus,Wherever found,Fishes,2018-08-16,E,Southeast Region,
Gunnison sage-grouse,Centrocercus minimus,Wherever found,Birds,2020-10-23,T,Mountain-Prairie Region,12.0
Kauai `o`o (honeyeater),Moho braccatus,Wherever found,Birds,2021-08-27,E,Pacific Region,145.0
DeBeque phacelia,Phacelia submutica,Wherever found,Flowering Plants,2013-01-23,T,Mountain-Prairie Region,
Hawaiian picture-wing fly,Drosophila musaphilia,Wherever found,Insects,2021-08-27,E,Pacific Region,71.0
No common name,Phyllostegia hispida,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,67.0
Eastern indigo snake,Drymarchon couperi,Wherever found,Reptiles,2019-08-12,T,Southeast Region,
Yelm pocket gopher,Thomomys mazama yelmensis,Wherever found,Mammals,2021-06-29,T,Pacific Region,5.0
`aku,Cyanea tritomantha,Wherever found,Flowering Plants,2019-10-31,E,Pacific Region,
Suwannee moccasinshell,Medionidus walkeri,Wherever found,Clams,2016-12-16,T,Southeast Region,
Roy Prairie pocket gopher,Thomomys mazama glacialis,Wherever found,Mammals,2021-06-29,T,Pacific Region,5.0
Cumberland pigtoe,Pleuronaia gibber,Wherever found,Clams,1992-08-13,E,Southeast Region,14.0
Round Ebonyshell,Reginaia rotulata,Wherever found,Clams,2021-11-13,E,Southeast Region,
Langford's tree snail,Partula langfordi,Wherever found,Snails,2020-02-03,E,Pacific Region,
No common name,Lysimachia iniki,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,72.0
Royal marstonia (snail),Marstonia ogmorhaphe,Wherever found,Snails,2019-06-27,E,Southeast Region,13.0
