Common Name,Scientific Name,Area,Group,Recovery Document Date,Status,Region,Recovery Actions
Cahaba shiner,Notropis cahabae,Wherever found,Fishes,2019-08-06,E,Southeast Region,4.0
Palezone shiner,Notropis albizonatus,Wherever found,Fishes,2019-08-06,E,Southeast Region,11.0
Little Colorado spinedace,Lepidomeda vittata,Wherever found,Fishes,2019-12-06,T,Southwest Region,52.0
White River spinedace,Lepidomeda albivallis,Wherever found,Fishes,2019-10-04,E,California/Nevada Region,19.0
Spikedace,Meda fulgida,Wherever found,Fishes,2019-12-06,E,Southwest Region,34.0
Hawaiian bluegrass,Poa sandvicensis,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,77.0
No common name,Remya montgomeryi,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,79.0
Kolea,Myrsine linearifolia,Wherever found,Flowering Plants,2021-08-27,T,Pacific Region,77.0
`Akoko,Euphorbia remyi var. kauaiensis,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,75.0
No common name,Schiedea spergulina var. spergulina,Wherever found,Flowering Plants,2021-08-27,T,Pacific Region,80.0
''Akoko,Euphorbia halemanui,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,80.0
Fat pocketbook,Potamilus capax,Wherever found,Clams,2019-09-26,E,Southeast Region,10.0
Black clubshell,Pleurobema curtum,Wherever found,Clams,2019-08-06,E,Southeast Region,7.0
Southern combshell,Epioblasma penita,Wherever found,Clams,2019-08-06,E,Southeast Region,7.0
Heavy pigtoe,Pleurobema taitianum,Wherever found,Clams,2019-08-06,E,Southeast Region,7.0
Speckled pocketbook,Lampsilis streckeri,Wherever found,Clams,2019-08-06,E,Southeast Region,12.0
Purple bankclimber (mussel),Elliptoideus sloatianus,Wherever found,Clams,2019-06-27,T,Southeast Region,27.0
Oval pigtoe,Pleurobema pyriforme,Wherever found,Clams,2019-06-27,E,Southeast Region,28.0
Fat threeridge (mussel),Amblema neislerii,Wherever found,Clams,2019-08-06,E,Southeast Region,27.0
Ovate clubshell,Pleurobema perovatum,Wherever found,Clams,2019-06-27,E,Southeast Region,28.0
Southern clubshell,Pleurobema decisum,Wherever found,Clams,2019-06-27,E,Southeast Region,28.0
Triangular Kidneyshell,Ptychobranchus greenii,Wherever found,Clams,2019-08-06,E,Southeast Region,29.0
Alabama moccasinshell,Medionidus acutissimus,Wherever found,Clams,2019-08-06,T,Southeast Region,29.0
Coosa moccasinshell,Medionidus parvulus,Wherever found,Clams,2019-06-27,E,Southeast Region,29.0
Dark pigtoe,Pleurobema furvum,Wherever found,Clams,2016-08-06,E,Southeast Region,28.0
Southern pigtoe,Pleurobema georgianum,Wherever found,Clams,2019-06-27,E,Southeast Region,29.0
Gulf moccasinshell,Medionidus penicillatus,Wherever found,Clams,2019-06-27,E,Southeast Region,28.0
Ochlockonee moccasinshell,Medionidus simpsonianus,Wherever found,Clams,2019-08-06,E,Southeast Region,28.0
Chipola slabshell,Elliptio chipolaensis,Wherever found,Clams,2019-08-06,T,Southeast Region,27.0
Deltoid spurge,Chamaesyce deltoidea ssp. deltoidea,,Flowering Plants,2019-08-06,E,Southeast Region,31.0
Oahu tree snails,Achatinella spp.,Wherever found,Snails,2019-08-12,E,Pacific Region,44.0
El Segundo blue butterfly,Euphilotes battoides allyni,Wherever found,Insects,2019-12-10,E,California/Nevada Region,19.0
Lange's metalmark butterfly,Apodemia mormo langei,Wherever found,Insects,2019-09-26,E,California/Nevada Region,20.0
Lotis blue butterfly,Lycaeides argyrognomon lotis,Wherever found,Insects,2019-12-10,E,California/Nevada Region,34.0
Mission blue butterfly,Icaricia icarioides missionensis,Wherever found,Insects,2019-09-26,E,California/Nevada Region,36.0
San Bruno elfin butterfly,Callophrys mossii bayensis,Wherever found,Insects,2019-09-26,E,California/Nevada Region,28.0
Schaus swallowtail butterfly,Heraclides aristodemus ponceanus,Wherever found,Insects,2019-06-27,E,Southeast Region,58.0
Palos Verdes blue butterfly,Glaucopsyche lygdamus palosverdesensis,Wherever found,Insects,2019-10-04,E,California/Nevada Region,28.0
Pawnee montane skipper,Hesperia leonardus montana,Wherever found,Insects,2020-09-03,T,Mountain-Prairie Region,13.0
Coffin Cave mold beetle,Batrisodes texanus,Wherever found,Insects,2019-08-28,E,Southwest Region,22.0
Kretschmarr Cave mold beetle,Texamaurops reddelli,Wherever found,Insects,2019-08-28,E,Southwest Region,22.0
Tooth Cave ground beetle,Rhadine persephone,Wherever found,Insects,2019-08-28,E,Southwest Region,22.0
Delhi Sands flower-loving fly,Rhaphiomidas terminatus abdominalis,Wherever found,Insects,2019-10-04,E,California/Nevada Region,22.0
Bee Creek Cave harvestman,Texella reddelli,Wherever found,Arachnids,2019-08-28,E,Southwest Region,22.0
Bone Cave harvestman,Texella reyesi,Wherever found,Arachnids,2019-08-28,E,Southwest Region,22.0
Tooth Cave pseudoscorpion,Tartarocreagris texana,Wherever found,Arachnids,2019-08-28,E,Southwest Region,22.0
Alabama cave shrimp,Palaemonias alabamae,Wherever found,Crustaceans,2019-09-25,E,Southeast Region,14.0
Socorro isopod,Thermosphaeroma thermophilus,Wherever found,Crustaceans,2019-08-28,E,Southwest Region,17.0
Benton County cave crayfish,Cambarus aculabrum,Wherever found,Crustaceans,2019-06-27,E,Southeast Region,13.0
Riverside fairy shrimp,Streptocephalus woottoni,Wherever found,Crustaceans,2019-10-01,E,California/Nevada Region,11.0
San Diego fairy shrimp,Branchinecta sandiegonensis,Wherever found,Crustaceans,2019-10-01,E,California/Nevada Region,12.0
Coastal dunes milk-vetch,Astragalus tener var. titi,Wherever found,Flowering Plants,2019-09-13,E,California/Nevada Region,22.0
Star cactus,Astrophytum asterias,Wherever found,Flowering Plants,2019-08-28,E,Southwest Region,21.0
Uhi uhi,Mezoneuron kavaiense,Wherever found,Flowering Plants,2019-08-12,E,Pacific Region,103.0
`Oha wai,Clermontia drepanomorpha,Wherever found,Flowering Plants,1998-05-11,E,Pacific Region,34.0
Pine Hill flannelbush,Fremontodendron californicum ssp. decumbens,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,24.0
El Dorado bedstraw,Galium californicum ssp. sierrae,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,27.0
Showy stickseed,Hackelia venusta,Wherever found,Flowering Plants,2019-08-20,E,Pacific Region,22.0
Hau kuahiwi,Hibiscadelphus giffardianus,Wherever found,Flowering Plants,1998-05-11,E,Pacific Region,30.0
Hau kuahiwi,Hibiscadelphus hualalaiensis,Wherever found,Flowering Plants,1998-05-11,E,Pacific Region,35.0
Kamakahala,Labordia triflora,Wherever found,Flowering Plants,2002-12-10,E,Pacific Region,27.0
San Clemente Island woodland-star,Lithophragma maximum,Wherever found,Flowering Plants,2019-10-04,E,California/Nevada Region,31.0
No common name,Neraudia ovata,Wherever found,Flowering Plants,1998-05-11,E,Pacific Region,36.0
rough popcornflower,Plagiobothrys hirtus,Wherever found,Flowering Plants,2019-12-20,E,Pacific Region,24.0
Hickman's potentilla,Potentilla hickmanii,Wherever found,Flowering Plants,2019-09-13,E,California/Nevada Region,21.0
No common name,Schiedea sarmentosa,Wherever found,Flowering Plants,1998-05-20,E,Pacific Region,26.0
Ashy dogweed,Thymophylla tephroleuca,Wherever found,Flowering Plants,2019-07-25,E,Southwest Region,20.0
Little amphianthus,Amphianthus pusillus,Wherever found,Flowering Plants,2019-06-27,T,Southeast Region,10.0
Large-flowered fiddleneck,Amsinckia grandiflora,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,28.0
Tobusch fishhook cactus,Sclerocactus brevihamatus ssp. tobuschii,Wherever found,Flowering Plants,2019-08-28,T,Southwest Region,29.0
McDonald's rock-cress,Arabis macdonaldiana,Wherever found,Flowering Plants,2019-12-10,E,California/Nevada Region,14.0
Presidio Manzanita,Arctostaphylos hookeri var. ravenii,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,32.0
Sacramento prickly poppy,Argemone pleiacantha ssp. pinnatisecta,Wherever found,Flowering Plants,2019-08-28,E,Southwest Region,36.0
Mauna Loa (=Ka'u) silversword,Argyroxiphium kauense,Wherever found,Flowering Plants,2019-08-12,E,Pacific Region,47.0
Osterhout milkvetch,Astragalus osterhoutii,Wherever found,Flowering Plants,2020-02-05,E,Mountain-Prairie Region,14.0
Texas poppy-mallow,Callirhoe scabriuscula,Wherever found,Flowering Plants,2019-12-06,E,Southwest Region,11.0
Tiburon mariposa lily,Calochortus tiburonensis,Wherever found,Flowering Plants,2019-09-26,T,California/Nevada Region,14.0
Navajo sedge,Carex specuicola,Wherever found,Flowering Plants,2019-12-06,T,Southwest Region,12.0
Sonoma spineflower,Chorizanthe valida,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,10.0
Chorro Creek bog thistle,Cirsium fontinale var. obispoense,Wherever found,Flowering Plants,2019-09-13,E,California/Nevada Region,8.0
Fountain thistle,Cirsium fontinale var. fontinale,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,26.0
Presidio clarkia,Clarkia franciscana,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,19.0
Pismo clarkia,Clarkia speciosa ssp. immaculata,Wherever found,Flowering Plants,2019-09-13,E,California/Nevada Region,8.0
Lee pincushion cactus,Coryphantha sneedii var. leei,Wherever found,Flowering Plants,2019-08-28,T,Southwest Region,20.0
Sneed pincushion cactus,Coryphantha sneedii var. sneedii,Wherever found,Flowering Plants,2019-08-28,E,Southwest Region,20.0
Nichol's Turk's head cactus,Echinocactus horizonthalonius var. nicholii,Wherever found,Flowering Plants,2019-12-06,E,Southwest Region,19.0
South Texas ambrosia,Ambrosia cheiranthifolia,Wherever found,Flowering Plants,2018-08-23,E,Southwest Region,
Black lace cactus,Echinocereus reichenbachii var. albertii,Wherever found,Flowering Plants,2019-12-06,E,Southwest Region,20.0
Davis' green pitaya,Echinocereus viridiflorus var. davisii,Wherever found,Flowering Plants,2019-09-26,E,Southwest Region,11.0
Indian Knob mountainbalm,Eriodictyon altissimum,Wherever found,Flowering Plants,2019-09-13,E,California/Nevada Region,17.0
San Diego button-celery,Eryngium aristulatum var. parishii,Wherever found,Flowering Plants,2019-10-01,E,California/Nevada Region,11.0
Contra Costa wallflower,Erysimum capitatum var. angustatum,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,20.0
Koki`o,Kokia drynarioides,Wherever found,Flowering Plants,2019-08-12,E,Pacific Region,40.0
Western lily,Lilium occidentale,Wherever found,Flowering Plants,2019-12-10,E,California/Nevada Region,23.0
Wyoming Toad,Anaxyrus baxteri,Wherever found,Amphibians,2015-07-16,E,Mountain-Prairie Region,40.0
Walker's manioc,Manihot walkerae,Wherever found,Flowering Plants,2019-09-26,E,Southwest Region,27.0
Alani,Melicope munroi,Wherever found,Flowering Plants,2002-12-10,E,Pacific Region,26.0
Alani,Melicope zahlbruckneri,Wherever found,Flowering Plants,1998-05-11,E,Pacific Region,31.0
Antioch Dunes evening-primrose,Oenothera deltoides ssp. howellii,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,20.0
California Orcutt grass,Orcuttia californica,Wherever found,Flowering Plants,2019-10-01,E,California/Nevada Region,11.0
Brady pincushion cactus,Pediocactus bradyi,Wherever found,Flowering Plants,2019-08-28,E,Southwest Region,22.0
Knowlton's cactus,Pediocactus knowltonii,Wherever found,Flowering Plants,2019-08-28,E,Southwest Region,15.0
Siler pincushion cactus,"Pediocactus (=Echinocactus,=Utahia) sileri",Wherever found,Flowering Plants,2019-08-28,T,Southwest Region,15.0
Texas trailing phlox,Phlox nivalis ssp. texensis,Wherever found,Flowering Plants,2019-09-26,E,Southwest Region,48.0
San Diego mesa-mint,Pogogyne abramsii,Wherever found,Flowering Plants,2019-10-01,E,California/Nevada Region,9.0
Little Aguja (=Creek) Pondweed,Potamogeton clystocarpus,Wherever found,Flowering Plants,2019-09-26,E,Southwest Region,29.0
Arizona Cliffrose,Purshia (=Cowania) subintegra,Wherever found,Flowering Plants,2019-09-26,E,Southwest Region,34.0
Navasota ladies-tresses,Spiranthes parksii,Wherever found,Flowering Plants,2019-09-26,E,Southwest Region,12.0
Tiburon jewelflower,Streptanthus niger,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,15.0
Monterey clover,Trifolium trichocalyx,Wherever found,Flowering Plants,2019-09-13,E,California/Nevada Region,20.0
Hawaiian vetch,Vicia menziesii,Wherever found,Flowering Plants,2019-08-12,E,Pacific Region,30.0
Texas wild-rice,Zizania texana,Wherever found,Flowering Plants,2019-12-06,E,Southwest Region,34.0
`Ena`ena,Pseudognaphalium sandwicensium var. molokaiense,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
Nanu,Gardenia remyi,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
`Ohe,Joinvillea ascendens ascendens,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
Holei,Ochrosia haleakalae,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
San Mateo thornmint,Acanthomintha obovata ssp. duttonii,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,23.0
Marsh Sandwort,Arenaria paludicola,Wherever found,Flowering Plants,2019-09-13,E,California/Nevada Region,38.0
`Ahinahina,Argyroxiphium sandwicense ssp. sandwicense,Wherever found,Flowering Plants,2019-08-12,E,Pacific Region,31.0
Pelos del diablo,Aristida portoricensis,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,19.0
Applegate's milk-vetch,Astragalus applegatei,Wherever found,Flowering Plants,2019-10-04,E,California/Nevada Region,26.0
Palo de ramon,Banara vanderbiltii,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,19.0
Vahl's boxwood,Buxus vahlii,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,21.0
Capa rosa,Callicarpa ampla,Wherever found,Flowering Plants,2019-08-06,E,Southeast Region,16.0
No common name,Calyptranthes thomasiana,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,19.0
Howell's spineflower,Chorizanthe howellii,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,13.0
Monterey spineflower,Chorizanthe pungens var. pungens,Wherever found,Flowering Plants,2019-10-01,T,California/Nevada Region,13.0
No common name,Cordia bellonis,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,20.0
Higuero de sierra,Crescentia portoricensis,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,20.0
Hawaiian picture-wing fly,Drosophila heteroneura,Wherever found,Insects,2022-02-24,E,Pacific Region,
`aku`aku,Cyanea platyphylla,Wherever found,Flowering Plants,1998-05-11,E,Pacific Region,34.0
Heau,Exocarpos menziesii,,Flowering Plants,2022-02-24,E,Pacific Region,
`Aiea,Nothocestrum latifolium,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
Uvillo,Eugenia haematocarpa,Wherever found,Flowering Plants,2019-08-06,E,Southeast Region,19.0
Higo Chumbo,Harrisia portoricensis,Wherever found,Flowering Plants,2019-06-27,T,Southeast Region,18.0
Cook's holly,Ilex cookii,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,17.0
Aupaka,Isodendrion hosakae,Wherever found,Flowering Plants,2019-08-12,E,Pacific Region,28.0
Southern Mountain Caribou DPS,Rangifer tarandus ssp. caribou,Southern Mountain DPS,Mammals,1994-03-04,E,Pacific Region,66.0
No common name,Mitracarpus maxwelliae,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,18.0
No common name,Mitracarpus polycladus,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,18.0
Wheeler's peperomia,Peperomia wheeleri,Wherever found,Flowering Plants,2019-08-06,E,Southeast Region,18.0
Hawaiian picture-wing fly,Drosophila differens,Wherever found,Insects,2022-02-24,E,Pacific Region,
Otay mesa-mint,Pogogyne nudiuscula,Wherever found,Flowering Plants,2019-10-01,E,California/Nevada Region,9.0
No common name,Phyllostegia brevidens,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
Alabama canebrake pitcher-plant,Sarracenia rubra ssp. alabamensis,Wherever found,Flowering Plants,2019-08-06,E,Southeast Region,12.0
American chaffseed,Schwalbea americana,Wherever found,Flowering Plants,2019-11-07,E,Southeast Region,16.0
Erubia,Solanum drymophilum,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,15.0
Palo colorado,Ternstroemia luquillensis,Wherever found,Flowering Plants,2019-08-06,E,Southeast Region,14.0
No common name,Ternstroemia subsessilis,Wherever found,Flowering Plants,2019-08-06,E,Southeast Region,14.0
Bariaco,Trichilia triacantha,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,21.0
Popolo,Solanum nelsonii,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
St. Thomas prickly-ash,Zanthoxylum thomasianum,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,25.0
Pennell's bird's-beak,Cordylanthus tenuis ssp. capillaris,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,16.0
Steamboat buckwheat,Eriogonum ovalifolium var. williamsiae,Wherever found,Flowering Plants,2019-12-10,E,California/Nevada Region,15.0
Kupukupu makalii,Cyclosorus boydiae,Wherever found,Ferns and Allies,2022-02-24,E,Pacific Region,
Palo de jazmin,Styrax portoricensis,Wherever found,Flowering Plants,2019-08-06,E,Southeast Region,20.0
Kamapua`a,Kadua fluviatilis,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
`I`iwi,Drepanis coccinea,Wherever found,Birds,2022-02-24,T,Pacific Region,
San Mateo woolly sunflower,Eriophyllum latilobum,Wherever found,Flowering Plants,2019-09-26,E,California/Nevada Region,15.0
No common name,Gesneria pauciflora,Wherever found,Flowering Plants,2019-08-06,T,Southeast Region,19.0
Kuenzler hedgehog cactus,Echinocereus fendleri var. kuenzleri,Wherever found,Flowering Plants,2021-12-02,T,Southwest Region,
Penland beardtongue,Penstemon penlandii,Wherever found,Flowering Plants,2020-02-05,E,Mountain-Prairie Region,14.0
No common name,Aristida chaseae,Wherever found,Flowering Plants,2019-09-26,E,Southeast Region,22.0
Morefields leather flower,Clematis morefieldii,,Flowering Plants,2019-08-06,E,Southeast Region,14.0
haha,Cyanea dunbariae,Wherever found,Flowering Plants,1998-05-20,E,Pacific Region,29.0
Haha,Cyanea glabra,Wherever found,Flowering Plants,2002-12-10,E,Pacific Region,28.0
Na`ena`e,Dubautia plantaginea ssp. humilis,Wherever found,Flowering Plants,2002-12-10,E,Pacific Region,24.0
kopa,Kadua cordata remyi,Wherever found,Flowering Plants,2002-12-10,E,Pacific Region,26.0
Holy Ghost ipomopsis,Ipomopsis sancti-spiritus,Wherever found,Flowering Plants,2019-08-28,E,Southwest Region,30.0
No common name,Leptocereus grantianus,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,19.0
Slender rush-pea,Hoffmannseggia tenella,Wherever found,Flowering Plants,2018-08-23,E,Southwest Region,
No common name,Lysimachia maxima,Wherever found,Flowering Plants,1998-05-20,E,Pacific Region,27.0
Kiponapona,Phyllostegia racemosa,Wherever found,Flowering Plants,1998-05-11,E,Pacific Region,34.0
No common name,Phyllostegia velutina,Wherever found,Flowering Plants,1998-05-11,E,Pacific Region,35.0
No common name,Phyllostegia warshaueri,Wherever found,Flowering Plants,1998-05-11,E,Pacific Region,33.0
Hala pepe,Pleomele hawaiiensis,Wherever found,Flowering Plants,1998-05-11,E,Pacific Region,36.0
Gambel's watercress,Rorippa gambellii,Wherever found,Flowering Plants,2019-09-13,E,California/Nevada Region,40.0
`Anunu,Sicyos albus,Wherever found,Flowering Plants,1998-05-11,E,Pacific Region,32.0
No common name,Vernonia proctorii,Wherever found,Flowering Plants,2019-09-26,E,Southeast Region,20.0
A`e,Zanthoxylum dipetalum var. tomentosum,Wherever found,Flowering Plants,1998-05-11,E,Pacific Region,33.0
No common name,Cranichis ricartii,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,15.0
No common name,Ilex sintenisii,Wherever found,Flowering Plants,2019-08-06,E,Southeast Region,15.0
No common name,Phyllostegia helleri,,Flowering Plants,2022-02-24,E,Pacific Region,
No common name,Eugenia woodburyana,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,21.0
Yadon's piperia,Piperia yadonii,Wherever found,Flowering Plants,2019-09-13,E,California/Nevada Region,20.0
Haha,Cyanea copelandii ssp. haleakalaensis,Wherever found,Flowering Plants,2002-12-10,E,Pacific Region,28.0
Haha,Cyanea hamatiflora ssp. hamatiflora,Wherever found,Flowering Plants,2002-12-10,E,Pacific Region,28.0
Kohe malama malama o kanaloa,Kanaloa kahoolawensis,Wherever found,Flowering Plants,2002-12-10,E,Pacific Region,27.0
`Oha wai,Clermontia samuelii,Wherever found,Flowering Plants,2002-12-10,E,Pacific Region,28.0
Black spored quillwort,Isoetes melanospora,Wherever found,Ferns and Allies,2019-06-27,E,Southeast Region,9.0
Mat-forming quillwort,Isoetes tegetiformans,Wherever found,Ferns and Allies,2019-06-27,E,Southeast Region,9.0
No common name,Deparia kaalaana,Wherever found,Ferns and Allies,2022-02-24,E,Pacific Region,
No common name,Kadua haupuensis,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
No common name,Wikstroemia skottsbergiana,,Flowering Plants,2022-02-24,E,Pacific Region,
Dakota Skipper,Hesperia dacotae,Wherever found,Insects,2021-09-28,T,Great Lakes-Big Rivers Region,
No common name,Lepidium orbiculare,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
Crenulate lead-plant,Amorpha crenulata,,Flowering Plants,2019-08-06,E,Southeast Region,34.0
`Anunu,Sicyos macrophyllus,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
Carter's panicgrass,Panicum fauriei var. carteri,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
No common name,Santalum involutum,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
Maui reedgrass,Calamagrostis expansa,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
Beautiful goetzea,Goetzea elegans,Wherever found,Flowering Plants,2019-06-27,E,Southeast Region,24.0
Kamakahala,Labordia tinifolia var. lanaiensis,Wherever found,Flowering Plants,2002-12-10,E,Pacific Region,26.0
Columbia Basin Pygmy Rabbit,Brachylagus idahoensis,Columbia Basin DPS,Mammals,2019-08-12,E,Pacific Region,74.0
Rota bridled White-eye,Zosterops rotensis,Wherever found,Birds,2019-08-20,E,Pacific Region,36.0
Franklin''s bumble bee,Bombus franklini,Wherever found,Insects,2021-12-17,E,Pacific Region,
Clover (Tidestrom''s) lupine,Lupinus tidestromii,Wherever found,Flowering Plants,1998-09-29,E,California/Nevada Region,13.0
Gypsum wild-buckwheat,Eriogonum gypsophilum,Wherever found,Flowering Plants,1984-03-30,T,Southwest Region,4.0
Scotts Valley spineflower,Chorizanthe robusta var. hartwegii,Wherever found,Flowering Plants,2019-09-13,E,California/Nevada Region,21.0
Four-petal pawpaw,Asimina tetramera,,Flowering Plants,1999-05-18,E,Southeast Region,31.0
Florida brickell-bush,Brickellia mosieri,,Flowering Plants,2016-06-24,E,Southeast Region,
Fragrant prickly-apple,Cereus eriophorus var. fragrans,,Flowering Plants,1999-05-18,E,Southeast Region,30.0
Crenulate lead-plant,Amorpha crenulata,,Flowering Plants,1999-05-18,E,Southeast Region,34.0
No common name,Phyllostegia hispida,Wherever found,Flowering Plants,2013-08-28,E,Pacific Region,67.0
Georgia pigtoe,Pleurobema hanleyianum,Wherever found,Clams,2019-06-27,E,Southeast Region,
Interrupted (=Georgia) Rocksnail,Leptoxis foremani,Wherever found,Snails,2019-06-27,E,Southeast Region,
Llanero Coqui,Eleutherodactylus juanariveroi,Wherever found,Amphibians,2019-08-12,E,Southeast Region,
Llanero Coqui,Eleutherodactylus juanariveroi,Wherever found,Amphibians,2019-08-12,E,Southeast Region,
Piping Plover,Charadrius melodus,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",Birds,2016-03-16,T,Northeast Region,
Alabama sturgeon,Scaphirhynchus suttkusi,Wherever found,Fishes,2019-08-06,E,Southeast Region,
Furbish lousewort,Pedicularis furbishiae,Wherever found,Flowering Plants,2019-10-04,E,Northeast Region,
Rough hornsnail,Pleurocera foremani,Wherever found,Snails,2019-06-27,E,Southeast Region,
Deltoid spurge,Chamaesyce deltoidea ssp. deltoidea,,Flowering Plants,1999-05-18,E,Southeast Region,31.0
Fragrant prickly-apple,Cereus eriophorus var. fragrans,,Flowering Plants,2019-08-06,E,Southeast Region,30.0
Four-petal pawpaw,Asimina tetramera,,Flowering Plants,2019-08-06,E,Southeast Region,31.0
Short-leaved rosemary,Conradina brevifolia,,Flowering Plants,2019-08-06,E,Southeast Region,26.0
Garber's spurge,Chamaesyce garberi,,Flowering Plants,1999-05-18,T,Southeast Region,30.0
Pigeon wings,Clitoria fragrans,,Flowering Plants,1999-05-18,T,Southeast Region,26.0
Anchialine pool Shrimp,Procaris hawaiana,Wherever found,Crustaceans,2022-02-24,E,Pacific Region,
Pygmy fringe-tree,Chionanthus pygmaeus,,Flowering Plants,1999-05-18,E,Southeast Region,26.0
Florida semaphore Cactus,Consolea corallicola,,Flowering Plants,2013-08-27,E,Southeast Region,
Short-leaved rosemary,Conradina brevifolia,,Flowering Plants,1999-05-18,E,Southeast Region,26.0
Makou,Ranunculus mauiensis,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
Makou,Ranunculus hawaiensis,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
Pacific Hawaiian damselfly,Megalagrion pacificum,Wherever found,Insects,2022-02-24,E,Pacific Region,
No common name,Asplenium diellaciniatum,Wherever found,Ferns and Allies,2022-02-24,E,Pacific Region,
Flying earwig Hawaiian damselfly,Megalagrion nesiotes,Wherever found,Insects,2022-02-24,E,Pacific Region,
Anthricinan yellow-faced bee,Hylaeus anthracinus,Wherever found,Insects,2022-02-24,E,Pacific Region,
Honohono,Haplostachys haplostachya,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
No common name,Sicyos lanceoloideus,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
Hawaiian yellow-faced bee,Hylaeus longiceps,Wherever found,Insects,2022-02-24,E,Pacific Region,
No common name,Sanicula sandwicensis,Wherever found,Flowering Plants,2022-02-24,E,Pacific Region,
Eskimo curlew,Numenius borealis,Wherever found,Birds,1900-01-01,E,Alaska Region,0.0
loulu,Pritchardia munroi,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,28.0
loulu,Pritchardia maideniana,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,36.0
loulu,Pritchardia kaalae,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,27.0
loulu,Pritchardia schattaueri,Wherever found,Flowering Plants,1996-09-26,E,Pacific Region,34.0
Chupacallos,Pleodendron macranthum,Wherever found,Flowering Plants,1998-09-11,E,Southeast Region,5.0
Chupacallos,Pleodendron macranthum,Wherever found,Flowering Plants,2019-08-06,E,Southeast Region,5.0
Frosted Flatwoods salamander,Ambystoma cingulatum,Wherever found,Amphibians,2021-06-15,T,Southeast Region,
Bull Trout,Salvelinus confluentus,"U.S.A., conterminous, lower 48 states",Fishes,2015-09-30,T,Pacific Region,770.0
Bull Trout,Salvelinus confluentus,"U.S.A., conterminous, lower 48 states",Fishes,2015-09-30,T,Pacific Region,770.0
"Pacific Marten, Coastal Distinct Population Segment",Martes caurina,Wherever found,Mammals,2021-01-12,T,California/Nevada Region,
loulu,Pritchardia schattaueri,Wherever found,Flowering Plants,1998-05-11,E,Pacific Region,34.0
Little Kern golden trout,Oncorhynchus aguabonita whitei,Wherever found,Fishes,1900-01-01,T,California/Nevada Region,0.0
Reticulated flatwoods salamander,Ambystoma bishopi,Wherever found,Amphibians,2021-06-15,E,Southeast Region,
